74	Sept 2020
73	June 2020
72	March 2020
71	December 2019
70	September 2019
69	June 12, 2019
68	March 25, 2019
67	December 13, 2018
66	September 27, 2018
65	June 13, 2018
64	March 26, 2018
63	December 18, 2017
62	September 27, 2017
61	June 22, 2017
60	April 20, 2017
59	December 21, 2016
58	October 5, 2016
57	June 27, 2016
56	March 24, 2016
55	December 15, 2015
54	September 30, 2015
53	July 2, 2015
52	March 23, 2015
51	December 8, 2014
50	October 8, 2014
49	July 15, 2014
48	March 27, 2014
47	January 10, 2014
46	September 23, 2013
45	June 11, 2013
44	March 12, 2013
43	December 4, 2012
42	September 18, 2012
41	June 12, 2012
40	March 13, 2012
39	December 6, 2011
38	September 20, 2011
37	June 14, 2011
36	March 15, 2011
35	December 14, 2010
34	September 21, 2010
33	June 15, 2010
32	March 16, 2010
31	December 15, 2009
30	September 30, 2009
29	June 24, 2009
28	March 31, 2009
27	December 17, 2008
26	September 30, 2008
25	June 30, 2008
24	March 12, 2008
23	December 11, 2007
22	September 4, 2007
21	May 15, 2007
20	February 28, 2007
19	November 16, 2006
